"","df","logLik","AICc","Delta","Weight"
"1/2/4/5/6/7/11/12",12,-3292.44944473707,6609.17066647763,3.64639386340878,0.00976266145214606
"1/2/4/5/6/7/8/9/10/11/12",15,-3289.38380075831,6609.18681549041,3.66254287619449,0.00968415017630087
"1/2/4/5/6/8/10/11/12",13,-3291.47625317808,6609.26985596383,3.7455833496133,0.00929029502807818
"1/2/4/5/6/7/8/12",12,-3292.5042682052,6609.28031341389,3.75604079966797,0.00924184540521393
"1/2/4/5/6/10",10,-3294.62159384934,6609.43449204651,3.91021943229225,0.00855616664990715
"1/2/3/4/5/6/7/10/11/12",14,-3290.53747739288,6609.44144693235,3.91717431813686,0.00852646474202418
"1/2/3/4/5/6",10,-3294.65809294717,6609.50749024216,3.98321762794058,0.0082495047707343
"1/2/4/5/6/9",10,-3294.67982814581,6609.55096063945,4.02668802523294,0.00807213471519689
"1/2/4/5/6/12",10,-3294.68714363853,6609.56559162489,4.04131901067376,0.00801329854263734
"1/2/3/4/5/6/7/10/11",13,-3291.64844669603,6609.61424299973,4.08997038551206,0.00782072132982895
"1/2/4/5/6/8/11",11,-3293.70431310568,6609.63839122442,4.1141186101986,0.00772686084319576
"1/2/3/4/5/6/7/11",12,-3292.72972572645,6609.73122845638,4.20695584216628,0.00737638782100853
"1/2/3/4/5/6/9/11",12,-3292.73223902147,6609.73625504642,4.21198243220533,0.00735787205976763
"1/2/3/4/5/6/9/10/11/12",14,-3290.71374758663,6609.79398731985,4.26971470563058,0.00714851492195878
"1/2/3/4/5/6/7/8/10/11/12",15,-3289.70968636687,6609.83858670754,4.31431409332617,0.00699086948297049
"1/2/4/5/6/8/9/10/11/12",14,-3290.74615309657,6609.85879833973,4.3345257255105,0.00692057682223585
"1/2/4/5/6/7/8/11/12",13,-3291.80744717571,6609.93224395909,4.40797134487548,0.00667104361887795
"1/2/3/4/5/6/8/10/11",13,-3291.82680395512,6609.97095751792,4.4466849037035,0.00654315544380586
"1/2/3/4/5/6/11/12",12,-3292.85366177324,6609.97910054997,4.45482793574865,0.00651656904178652
"1/2/4/5/6/7/9/11",12,-3292.85428787922,6609.98035276193,4.45608014770733,0.00651249025595404
