"","(Intercept)","FinFSLdat_AnnEsts","FinFSLdat_SpringDat","FinFSLdat_SummerDat","FinSouthSST_AnnEsts","FSL_months_Apr","FSL_months_Jan","FSL_months_May","FSL_months_Oct","FSLdat_Autumn","s(Ages)","SST_South_Months_Jun","df","logLik","AICc","delta","weight"
"698",4.99328311791639,5.83853750569519,NA,NA,0.538202251883017,0.830278708037898,0.687210070920156,NA,-2.578928230852,NA,"+",NA,10,-2280.9638826538,4582.17635287822,57.1307095062512,5.51897570835764e-14
"1954",7.87952650781945,7.22404621027833,NA,NA,NA,NA,0.996160781265179,NA,-1.24237934505986,-2.14535302986808,"+",0.394065680236821,10,-2280.9741718909,4582.19693135242,57.1512879804477,5.46248080191622e-14
"654",4.68719463802405,6.88891120492623,NA,2.0271961319952,0.52283459175397,NA,NA,NA,-3.23759100136491,NA,"+",NA,9,-2281.99924444274,4582.20164915636,57.1560057843881,5.44961053101216e-14
"1850",3.6850519329629,5.27493475891334,NA,NA,0.367072356428599,3.18999991157735,1.11788014449194,NA,NA,-5.63863938293203,"+",0.302366448286558,11,-2279.9899587181,4582.27855997013,57.2329165981619,5.2440218734705e-14
"582",13.6012675429394,7.13125556029972,NA,2.62034824339994,NA,NA,NA,-2.54647324733666,NA,NA,"+",NA,8,-2283.07200961309,4582.30636420927,57.2607208373047,5.17162326741914e-14
"774",13.9832412400441,6.31814615973582,NA,2.75146279210665,NA,NA,NA,NA,NA,-2.58113137456487,"+",NA,8,-2283.08673971669,4582.33582441647,57.2901810445037,5.0960030351496e-14
"1590",9.15809778518191,4.42948567294992,NA,3.43070888385934,NA,-0.89141429792925,-2.15484086223106,NA,NA,NA,"+",0.325954043289731,10,-2281.06461731526,4582.37782220114,57.3321788291705,4.99010834289525e-14
"1762",8.02111970238565,7.88562188998963,NA,NA,NA,NA,1.04469610672209,-2.13840890962341,-1.18310356353172,NA,"+",0.36212994979986,10,-2281.07445961045,4582.39750679153,57.3518634195589,4.94123513035753e-14
"550",14.2727034136046,4.2090892647544,NA,4.00494195772249,NA,NA,-2.45308353805926,NA,NA,NA,"+",NA,8,-2283.12405816582,4582.41046131472,57.3648179427555,4.90933288891899e-14
"1646",4.06702927621548,5.73753239202477,NA,3.15265509787133,0.345223441466669,NA,-1.15982327170556,-2.5040852211629,NA,NA,"+",0.263103361870869,11,-2280.07579156179,4582.45022565752,57.4045822855478,4.81268862351354e-14
"782",5.31828152446656,4.99301494464737,NA,2.70204583651386,0.536282957148959,NA,NA,NA,NA,-2.54971067384925,"+",NA,9,-2282.23451703494,4582.67219434075,57.6265509687846,4.30712897785328e-14
"1898",2.77730081471708,5.82058849689353,NA,NA,0.38938882169256,NA,1.13866433395425,-2.347406322648,NA,0.0990304043250973,"+",0.308087496972301,11,-2280.19028693553,4582.67921640499,57.6335730330238,4.29203302636179e-14
"1650",8.55256262889915,6.47378256501481,NA,NA,NA,1.02502612851112,0.779529622689941,-2.77020080475476,NA,NA,"+",0.341774702661326,10,-2281.25071274094,4582.75001305249,57.7043696805249,4.14275984867825e-14
"590",5.29698538053229,5.75524824867912,NA,2.5330783545583,0.515269018981404,NA,NA,-2.42365879277021,NA,NA,"+",NA,9,-2282.2799088804,4582.76297803169,57.7173346597192,4.11599130818874e-14
"1630",3.63868857626402,5.84464467011068,NA,1.85873239577047,0.373207246927258,0.462284124710922,NA,-2.79960928710129,NA,NA,"+",0.253322809105265,11,-2280.30129468489,4582.90123190371,57.8555885317401,3.84107690097849e-14
"1798",7.83178502806,6.62198077582004,NA,2.41271372248049,NA,NA,NA,NA,NA,-3.78515072117329,"+",0.395909321716723,9,-2282.35929733368,4582.92175493825,57.8761115662801,3.80186316433735e-14
"558",6.31185448418526,3.11280502549656,NA,3.33631927537522,0.489284801845005,NA,-1.83142086217421,NA,NA,NA,"+",NA,9,-2282.40693413637,4583.01702854361,57.971385171646,3.62500058720069e-14
"1694",3.22963023091742,6.7059497790928,NA,1.83044216694966,0.429944088963398,-0.639600934057971,NA,NA,-2.71347931487805,NA,"+",0.198716491996666,11,-2280.36738087303,4583.03340427999,57.9877609080249,3.59544074141026e-14
"1962",2.56098035522202,6.42548999215891,NA,NA,0.402463821979457,NA,1.15519236775983,NA,-1.41154988998202,-1.96133521852198,"+",0.311846066409927,11,-2280.45060731552,4583.19985716497,58.1542137930046,3.30831878235127e-14
"1714",8.95958513272546,6.45321428685557,NA,NA,NA,0.0691857458607775,0.323139510106058,NA,-1.91595344811141,NA,"+",0.316639634121562,10,-2281.52182848262,4583.29224453585,58.2466011638862,3.15897135543293e-14
"674",13.7613335056278,7.7313408232171,NA,NA,NA,NA,0.92054795028326,NA,-2.52565578831753,NA,"+",NA,8,-2283.6103633732,4583.38307172948,58.337428357514,3.01871986982638e-14
"1770",2.67887338361112,7.08836374483548,NA,NA,0.400740958576658,NA,1.2260199037999,-2.03867055621382,-1.32878540377618,NA,"+",0.284621212401171,11,-2280.55450121564,4583.40764496522,58.3620015932502,2.98185693646045e-14
"1606",8.35575940878599,6.92140123396439,NA,1.92949597928729,NA,NA,NA,-2.7684003303875,NA,NA,"+",0.336948475749743,9,-2282.63876458824,4583.48068944737,58.4350460753985,2.8749175581635e-14
"1598",4.22658817007465,3.63181194574362,NA,3.10850807015366,0.365481377889537,-0.813042851631647,-1.75721795740064,NA,NA,NA,"+",0.260932659727973,11,-2280.60789716305,4583.51443686004,58.4687934880767,2.82681402730368e-14
"682",4.64837323176856,6.29852257061659,NA,NA,0.559320863009088,NA,1.02959675924473,NA,-2.47640913932621,NA,"+",NA,9,-2282.69162955739,4583.58641938566,58.5407760136941,2.72688253811075e-14
"534",14.065901501416,4.48759302406479,NA,1.41409590733959,NA,0.135071138385575,NA,NA,NA,NA,"+",NA,8,-2283.75163402184,4583.66561302676,58.6199696547919,2.62101647140861e-14
"1670",9.38861399512012,7.16625949465627,NA,1.35948127670206,NA,NA,NA,NA,-2.63360835603938,NA,"+",0.253675803948585,9,-2282.76515271458,4583.73346570004,58.6878223280728,2.53358646006568e-14
"1658",3.37106912754777,5.57317151011898,NA,NA,0.387124079360158,1.0034828171084,0.951566828531583,-2.69164691023469,NA,NA,"+",0.270251892098866,11,-2280.75688771148,4583.8124179569,58.7667745849294,2.43551867886336e-14
"610",14.0313047290526,6.93862674838063,NA,NA,NA,NA,1.435013776958,-1.94372405043096,NA,NA,"+",NA,8,-2283.876274286,4583.91489355509,58.8692501831265,2.31387115030542e-14
"542",5.32708043611739,3.29744683898611,NA,1.48249347832659,0.540122128798363,-0.0497436807588431,NA,NA,NA,NA,"+",NA,9,-2282.88972655829,4583.98261338746,58.9369700154884,2.23683524176502e-14
"1574",9.71487577893571,3.88197498331666,NA,2.98282732122939,NA,NA,-2.12617567661642,NA,NA,NA,"+",0.293160904617029,9,-2282.90808459089,4584.01932945266,58.9736860806943,2.19614597763074e-14
"1806",3.02965214642216,5.66551927598032,NA,2.43953016381558,0.365149557839681,NA,NA,NA,NA,-3.54891600892526,"+",0.325257182273597,10,-2281.90723995785,4584.06306748632,59.017424114355,2.14863977458151e-14
"618",4.78855928720902,5.55822474399867,NA,NA,0.566357874261315,NA,1.55530416460851,-1.95651735525436,NA,NA,"+",NA,9,-2282.93618005032,4584.07552037151,59.0298769995461,2.13530295592187e-14
"802",14.3877810984839,5.58402704825058,NA,NA,NA,NA,1.04974727536038,NA,NA,-0.966213072255977,"+",NA,8,-2283.98181188887,4584.12596876083,59.080325388858,2.08211528664282e-14
"1722",3.30056162076554,5.6677902736658,NA,NA,0.422949353966201,0.099774375329956,0.539197673793941,NA,-2.04103391645284,NA,"+",0.235396805664363,11,-2280.95811820627,4584.21487894648,59.1692355745099,1.99158190256278e-14
"810",4.98132318217645,4.33696371589723,NA,NA,0.576303928117805,NA,1.25563975710123,NA,NA,-1.19404416958111,"+",NA,9,-2283.01293170701,4584.22902368491,59.1833803129393,1.97754639069034e-14
"1826",7.71420040454164,6.05566582206621,NA,NA,NA,NA,0.979378996035789,NA,NA,-2.53942136833269,"+",0.424388554709517,9,-2283.07464553696,4584.3524513448,59.3068079728328,1.85919397996515e-14
"1634",7.95237750163292,6.74155957677159,NA,NA,NA,NA,0.982491511708099,-2.36032332391649,NA,NA,"+",0.38303346838436,9,-2283.15100187354,4584.50516401796,59.4595206459908,1.72251720650873e-14
"1614",3.40760612781606,5.96861198944901,NA,2.00570427403581,0.372653952466379,NA,NA,-2.63487174103738,NA,NA,"+",0.269006136784971,10,-2282.17383538506,4584.59625834074,59.5506149687744,1.64582133553136e-14
"562",14.4352100980102,4.12321424409406,NA,NA,NA,0.968548714229977,0.26796366803142,NA,NA,NA,"+",NA,8,-2284.21757478569,4584.59749455447,59.5518511825003,1.64480435640198e-14
