"","df","logLik","AICc","Delta","Weight"
"1/2/3/4/5/6/7/8/10/11",14,-2251.89169689481,4532.2639429887,7.21829961673393,0.00421506877943596
"1/2/3/4/5/6/8/10",12,-2253.96057738739,4532.27731915834,7.2316757863673,0.00418697210313939
"1/2/6/7/8/9/10",11,-2255.0126108078,4532.32624784136,7.28060446939617,0.00408578339205982
"1/2/3/4/5/7/8/10",12,-2253.99658503476,4532.34933445307,7.30369108110517,0.00403889111136952
"1/2/3/6/7/9/10",11,-2255.03268314403,4532.36639251383,7.32074914186069,0.00400458977290257
"1/2/4/6/7/8/9/10",12,-2254.04928879994,4532.45474198345,7.40909861148339,0.00383153846958738
"1/2/3/5/6/9/10/11",12,-2254.06713082459,4532.49042603275,7.44478266078295,0.00376378231667771
"1/2/5/6/7/9/10",11,-2255.11498368921,4532.53099360419,7.48535023221939,0.0036882076242456
"1/2/3/4/5/8/9/10/11",13,-2253.1161234404,4532.6482468808,7.60260350883527,0.00347819667643126
"1/2/5/6/8/9/10/11",12,-2254.20504123462,4532.76624685281,7.72060348083778,0.00327891959723224
"1/2/4/5/6/7/9/10",12,-2254.24110245221,4532.83836928797,7.79272591600602,0.00316278433863883
"1/2/3/4/6/7/9/10",12,-2254.25799579366,4532.87215597089,7.82651259891827,0.00310980311777925
"1/2/3/6/7/8/10/11",12,-2254.26970137732,4532.89556713819,7.84992376622631,0.00307361328204012
