,Estimate..Intercept.,Std..Error..Intercept.,df..Intercept.,Estimate.FinFSLdat_AnnEsts,Std..Error.FinFSLdat_AnnEsts,df.FinFSLdat_AnnEsts,Estimate.FinWestSST_AnnEsts,Std..Error.FinWestSST_AnnEsts,df.FinWestSST_AnnEsts,Estimate.FSL_months_Apr,Std..Error.FSL_months_Apr,df.FSL_months_Apr,Estimate.FSLdat_Spring,Std..Error.FSLdat_Spring,df.FSLdat_Spring,Estimate.SST_West_Months_Sep,Std..Error.SST_West_Months_Sep,df.SST_West_Months_Sep,Estimate.WestSST_Spring,Std..Error.WestSST_Spring,df.WestSST_Spring,Estimate.s.Ages..1,Std..Error.s.Ages..1,df.s.Ages..1,Estimate.s.Ages..2,Std..Error.s.Ages..2,df.s.Ages..2,Estimate.s.Ages..3,Std..Error.s.Ages..3,df.s.Ages..3,Estimate.s.Ages..4,Std..Error.s.Ages..4,df.s.Ages..4,Estimate.s.Ages..5,Std..Error.s.Ages..5,df.s.Ages..5,Estimate.s.Ages..6,Std..Error.s.Ages..6,df.s.Ages..6,Estimate.s.Ages..7,Std..Error.s.Ages..7,df.s.Ages..7,Estimate.s.Ages..8,Std..Error.s.Ages..8,df.s.Ages..8,Estimate.s.Ages..9,Std..Error.s.Ages..9,df.s.Ages..9,Estimate.SST_West_Months_Oct,Std..Error.SST_West_Months_Oct,df.SST_West_Months_Oct,Estimate.FinWestSST_SummerDat,Std..Error.FinWestSST_SummerDat,df.FinWestSST_SummerDat,Estimate.WestSST_Winter,Std..Error.WestSST_Winter,df.WestSST_Winter,Estimate.SST_West_Months_Jul,Std..Error.SST_West_Months_Jul,df.SST_West_Months_Jul,Estimate.SST_West_Months_Jun,Std..Error.SST_West_Months_Jun,df.SST_West_Months_Jun
98,-7.861853831,7.830571575,1146.107774,-6.508833793,5.598095848,1146.107774,1.492198356,0.55623342,1146.107774,3.474201189,2.285343166,1146.107774,5.641910361,4.121218063,1146.107774,NA,NA,NA,NA,NA,NA,16.59033289,1.54467911,1146.107774,-18.82674874,4.212061007,1146.107774,-12.22274312,1.322626808,1146.107774,12.4683911,2.97779952,1146.107774,11.10700057,1.420772742,1146.107774,-10.30807906,2.650026744,1146.107774,10.02460285,1.7502006,1146.107774,-26.64749638,9.045218916,1146.107774,-14.67663095,2.775293275,1146.107774,-0.204964975,0.281177102,1146.107774,NA,NA,NA,-0.033138958,0.362468667,1146.107774,NA,NA,NA,NA,NA,NA
99,3.605189935,6.129399163,1145.073873,-1.64709042,5.145901521,1145.073873,NA,NA,NA,1.82939085,2.160163612,1145.073873,4.079300415,4.080156213,1145.073873,0.752127151,0.475809576,1145.073873,0.101167512,0.514457009,1145.073873,16.69666884,1.548426241,1145.073873,-18.87735195,4.245841584,1145.073873,-12.3455181,1.331872206,1145.073873,12.62045676,3.004738266,1145.073873,11.27681207,1.425298827,1145.073873,-10.38997563,2.675259843,1145.073873,10.17441685,1.760263341,1145.073873,-26.61634477,9.132393224,1145.073873,-14.72677176,2.80652007,1145.073873,NA,NA,NA,NA,NA,NA,-1.210778167,0.644291206,1145.073873,1.070764814,0.421156392,1145.073873,NA,NA,NA
100,-13.79554286,9.320878317,1144.096802,-5.263692271,5.844931572,1144.096802,1.894277977,0.716708572,1144.096802,3.187820444,2.492435045,1144.096802,4.677411933,4.216779812,1144.096802,NA,NA,NA,-0.938231554,0.600992603,1144.096802,16.64479962,1.544939558,1144.096802,-18.85006229,4.222732696,1144.096802,-12.32004189,1.325263712,1144.096802,12.52827781,2.98752725,1144.096802,11.13381936,1.422911216,1144.096802,-10.34455553,2.658412889,1144.096802,10.07540655,1.753492452,1144.096802,-26.61883825,9.074200933,1144.096802,-14.8870025,2.787802828,1144.096802,NA,NA,NA,0.339257476,0.342979768,1144.096802,0.396494808,0.609141404,1144.096802,NA,NA,NA,-0.194194179,0.390078829,1144.096802
101,-5.410022323,7.959491868,1144.091053,-5.627683161,5.792463377,1144.091053,1.222471815,0.604220986,1144.091053,3.538923649,2.351958683,1144.091053,4.6743808,4.158918569,1144.091053,NA,NA,NA,NA,NA,NA,16.73256155,1.547694309,1144.091053,-18.92703007,4.228775463,1144.091053,-12.38948877,1.328710234,1144.091053,12.5766568,2.991162199,1144.091053,11.157024,1.424246326,1144.091053,-10.37342727,2.662582683,1144.091053,10.12522202,1.755758528,1144.091053,-26.69030018,9.086366917,1144.091053,-14.82426962,2.788093698,1144.091053,0.00909132,0.309165359,1144.091053,NA,NA,NA,-1.681032631,1.412056151,1144.091053,1.108500312,0.708090416,1144.091053,0.473392201,0.614252119,1144.091053
102,-13.68640835,9.014625798,1147.097186,-3.95711922,5.488445267,1147.097186,1.735756117,0.627048278,1147.097186,NA,NA,NA,5.291693216,4.194085538,1147.097186,NA,NA,NA,-0.67636509,0.519441103,1147.097186,16.62048028,1.543557533,1147.097186,-18.82349819,4.216635478,1147.097186,-12.26376375,1.322545977,1147.097186,12.50967913,2.982187053,1147.097186,11.14472774,1.419718753,1147.097186,-10.31492026,2.655136011,1147.097186,10.05552123,1.751306233,1147.097186,-26.58899169,9.062308486,1147.097186,-14.75148464,2.78132977,1147.097186,NA,NA,NA,0.487597852,0.326555148,1147.097186,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,-0.306408816,7.597308876,1145.072189,-0.552826757,5.236638872,1145.072189,NA,NA,NA,1.161147956,2.300682407,1145.072189,3.163001076,4.206985635,1145.072189,0.708273266,0.407336877,1145.072189,NA,NA,NA,16.67488922,1.547904364,1145.072189,-18.89349711,4.243843938,1145.072189,-12.36340978,1.331677258,1145.072189,12.66539745,3.004361308,1145.072189,11.27597939,1.424781293,1145.072189,-10.40639388,2.675032302,1145.072189,10.18730035,1.759746261,1145.072189,-26.6709284,9.129376518,1145.072189,-14.7236757,2.805265038,1145.072189,NA,NA,NA,0.298070135,0.344694348,1145.072189,-1.209528076,0.62348238,1145.072189,1.104109356,0.41869495,1145.072189,NA,NA,NA
104,-4.161425826,7.789863761,1146.083015,-4.171077157,5.517972571,1146.083015,0.726540794,0.520431729,1146.083015,NA,NA,NA,6.387098734,4.100531235,1146.083015,0.604456885,0.421834677,1146.083015,NA,NA,NA,16.66217393,1.545656651,1146.083015,-18.93446976,4.231108243,1146.083015,-12.26159381,1.328145557,1146.083015,12.63090183,2.99379197,1146.083015,11.2697267,1.422557437,1146.083015,-10.40386542,2.665504858,1146.083015,10.16886262,1.755538682,1146.083015,-26.84856126,9.099425137,1146.083015,-14.66468178,2.795758464,1146.083015,NA,NA,NA,NA,NA,NA,-1.032227352,0.619035325,1146.083015,0.866308782,0.432064417,1146.083015,NA,NA,NA
105,-8.867255218,7.94662899,1144.089951,-5.813147375,5.798167667,1144.089951,1.895606477,0.718302805,1144.089951,3.799640985,2.385423774,1144.089951,5.384525809,4.132615638,1144.089951,NA,NA,NA,-1.182991284,0.838214729,1144.089951,16.76790186,1.549572969,1144.089951,-18.88059332,4.231339719,1144.089951,-12.37501712,1.329206287,1144.089951,12.49780409,2.993073612,1144.089951,11.17084404,1.42485584,1144.089951,-10.35148436,2.664335386,1144.089951,10.10403375,1.75656852,1144.089951,-26.53487997,9.093242721,1144.089951,-14.99082736,2.794924673,1144.089951,0.27717848,0.421152236,1144.089951,NA,NA,NA,0.478568862,0.628239574,1144.089951,NA,NA,NA,-0.218133275,0.392981652,1144.089951
106,4.120864714,6.154067642,1144.080068,-2.720049944,5.269789362,1144.080068,NA,NA,NA,2.21630268,2.198642257,1144.080068,3.99777619,4.081282883,1144.080068,0.801892893,0.478728972,1144.080068,0.235828736,0.533784716,1144.080068,16.67841002,1.547852938,1144.080068,-18.86794081,4.240052979,1144.080068,-12.33626154,1.330893521,1144.080068,12.60823293,3.000426339,1144.080068,11.23025135,1.425203166,1144.080068,-10.37283866,2.671048056,1144.080068,10.15800372,1.75863739,1144.080068,-26.6270874,9.117782753,1144.080068,-14.68237456,2.802304231,1144.080068,NA,NA,NA,NA,NA,NA,-2.611215872,1.614129521,1144.080068,1.661683062,0.753299076,1144.080068,0.611819983,0.646534437,1144.080068
107,-5.993463217,8.03561575,1145.088117,-5.220101979,5.634637063,1145.088117,1.171513221,0.709586424,1145.088117,NA,NA,NA,7.275683376,4.212900371,1145.088117,0.808743794,0.476731598,1145.088117,-0.643250443,0.69802617,1145.088117,16.60963975,1.546168514,1145.088117,-18.8264047,4.228609118,1145.088117,-12.19689186,1.329197607,1145.088117,12.54694826,2.992043289,1145.088117,11.23166974,1.422621551,1145.088117,-10.35129771,2.663012592,1145.088117,10.12072443,1.755050549,1145.088117,-26.68355094,9.090746799,1145.088117,-14.73782584,2.794107694,1145.088117,NA,NA,NA,NA,NA,NA,-0.769541097,0.681267527,1145.088117,0.671160928,0.481168721,1145.088117,NA,NA,NA
