"","Year","FishName","Ages","Site","OtoWidth","FSLann","TannS","TsummS","TautS","TwinS","TsprS","TannW","TsummW","TautW","TwinW","TsprW"
"497",1970,"X050116",8,"South",1.37818629042543,1.00531203404461,0.98971285184769,0.992983663995723,0.994332558268614,0.977018282282903,0.993373165346623,0.989537916957657,0.979113733530692,0.985269672551285,0.997094527885707,0.998630154849316
"499",1970,"X040019",16,"South",0.75503594032982,1.00524672545743,0.98967413708954,0.992950105565342,0.994285698695606,0.976978829222967,0.993338659438133,0.989522916248861,0.979100733648225,0.985263379196646,0.997079079813432,0.998603165418838
"503",1970,"X050193",2,"South",1.00668287202891,1.00511705029495,0.989595292421147,0.992882397456832,0.994190314686634,0.976898055800393,0.993268029305515,0.989491629876981,0.979074383409721,0.985249094008003,0.9970464504801,0.998547754205832
"504",1970,"X050134",3,"South",0.682535785416831,1.00508483362835,0.989575286771077,0.992865348537965,0.994166123364589,0.976877473828516,0.993250032436429,0.989483540249015,0.979067723793395,0.985245170018936,0.997037930234151,0.998533600942103
"506",1970,"X040033",3,"South",1.39442989297854,1.00502064986239,0.9895349225494,0.992831106004776,0.994117328195127,0.976835844139297,0.993213628904259,0.98946703899793,0.97905431934012,0.985236900269737,0.997020452064015,0.998504931404855
"508",1971,"X050110",7,"South",0.835817813239285,1.03006345043321,0.982952126700663,0.98110492122743,0.996410905967909,0.990248051347814,0.96212170913455,0.9926556244885,0.995920816376911,1.00596471439926,0.998786892267526,0.967432255958597
"509",1971,"X040055",24,"South",0.950013508864938,1.03003086376204,0.982931669615964,0.981087836668182,0.996385970727763,0.990226399820394,0.962103610425773,0.992646969905815,0.995913899107541,1.0059599919501,0.998777623423859,0.967417953708915
"510",1971,"X050103",14,"South",1.30371028122666,1.02999836711429,0.982911096028124,0.981070705522484,0.996360898927861,0.990204591423434,0.962085377764211,0.992638207461379,0.995906953888379,1.0059551270161,0.9987682069864,0.967403532651604
"511",1971,"X050099",25,"South",0.634102397384189,1.02996596149034,0.982890406026592,0.981053528033175,0.996335690845415,0.99018262628085,0.962067010822927,0.992629337123352,0.995899980931331,1.0059501198274,0.99875864264861,0.967388992468558
"512",1971,"X060028",11,"South",0.95331468636405,1.02993364788112,0.982869599706219,0.981036304448844,0.996310346758377,0.99016050452019,0.962048509286686,0.992620358862635,0.995892980449707,1.00594497061283,0.998748930104108,0.967374332851575
"514",1971,"X040045",8,"South",1.1326840755383,1.02986930062311,0.982827638513277,0.981001720016918,0.996259251688015,0.990115791667317,0.962011101224615,0.992602078467532,0.995878897771645,1.00593424701175,0.99872905917496,0.967344654128823
