"Year","FishName","OtoWidth","Ages","Site","FSLann","FSLsumm","FSLaut","FSLwin","FSLspr","TannS","TsummS","TautS","TwinS","TsprS","TannW","TsummW","TautW","TwinW","TsprW"
2001,"X060117",16.84066667,45,"West",0.779333333333333,0.746333333333333,0.866333333333333,0.821,0.683666666666667,19.3,20.3666666666667,20.6833333333333,18.4533333333333,17.6966666666667,20.5475,21.37,21.9333333333333,19.87,19.0166666666667
2001,"X050134",12.043,34,"South",0.779333333333333,0.746333333333333,0.866333333333333,0.821,0.683666666666667,19.3,20.3666666666667,20.6833333333333,18.4533333333333,17.6966666666667,20.5475,21.37,21.9333333333333,19.87,19.0166666666667
2001,"X060253",15.30033333,42,"West",0.779333333333333,0.746333333333333,0.866333333333333,0.821,0.683666666666667,19.3,20.3666666666667,20.6833333333333,18.4533333333333,17.6966666666667,20.5475,21.37,21.9333333333333,19.87,19.0166666666667
2001,"X060266",18.35533333,37,"West",0.779333333333333,0.746333333333333,0.866333333333333,0.821,0.683666666666667,19.3,20.3666666666667,20.6833333333333,18.4533333333333,17.6966666666667,20.5475,21.37,21.9333333333333,19.87,19.0166666666667
2001,"X060113",24.94866667,37,"West",0.779333333333333,0.746333333333333,0.866333333333333,0.821,0.683666666666667,19.3,20.3666666666667,20.6833333333333,18.4533333333333,17.6966666666667,20.5475,21.37,21.9333333333333,19.87,19.0166666666667
2001,"X060264",17.667,47,"West",0.779333333333333,0.746333333333333,0.866333333333333,0.821,0.683666666666667,19.3,20.3666666666667,20.6833333333333,18.4533333333333,17.6966666666667,20.5475,21.37,21.9333333333333,19.87,19.0166666666667
2001,"X060131",19.466,33,"West",0.779333333333333,0.746333333333333,0.866333333333333,0.821,0.683666666666667,19.3,20.3666666666667,20.6833333333333,18.4533333333333,17.6966666666667,20.5475,21.37,21.9333333333333,19.87,19.0166666666667
2001,"X060254",16.48766667,55,"West",0.779333333333333,0.746333333333333,0.866333333333333,0.821,0.683666666666667,19.3,20.3666666666667,20.6833333333333,18.4533333333333,17.6966666666667,20.5475,21.37,21.9333333333333,19.87,19.0166666666667
2001,"X060116",15.325,40,"West",0.779333333333333,0.746333333333333,0.866333333333333,0.821,0.683666666666667,19.3,20.3666666666667,20.6833333333333,18.4533333333333,17.6966666666667,20.5475,21.37,21.9333333333333,19.87,19.0166666666667
2001,"X050255",14.48,37,"South",0.779333333333333,0.746333333333333,0.866333333333333,0.821,0.683666666666667,19.3,20.3666666666667,20.6833333333333,18.4533333333333,17.6966666666667,20.5475,21.37,21.9333333333333,19.87,19.0166666666667
