"Year","SouthSST_Annual","SST_South_Months_Jun","LagSouthSST_Spring","LagSST_South_Months_Sep","LagSST_South_Months_Nov","FinSouthSST_AnnEsts","LagFinSouthSST_AnnEsts","LagFinSouthSST_SpringDat","FSLdat_Annual","FSLdat_Summer","FSLdat_Autumn","FSLdat_Spring","FSL_months_Jan","FSL_months_Feb","FSL_months_Mar","FSL_months_Apr","FSL_months_May","FSL_months_Oct","LagFSLdat_Annual","LagFSLdat_Summer","LagFSLdat_Autumn","LagFSLdat_Winter","LagFSLdat_Spring","LagFSL_months_Feb","LagFSL_months_Apr","LagFSL_months_May","LagFSL_months_Jun","LagFSL_months_Jul","LagFSL_months_Aug","LagFSL_months_Sep","LagFSL_months_Oct","LagFSL_months_Nov","FinFSLdat_AnnEsts","FinFSLdat_SummerDat","FinFSLdat_AutumnDat","FinFSLdat_SpringDat","LagFinFSLdat_AnnEsts","LagFinFSLdat_SummerDat","LagFinFSLdat_AutumnDat","LagFinFSLdat_SpringDat"
1965,18.3933333333333,18.35,16.6666666666667,16.37,17.84,18.3766666666667,18.3766666666667,16.8733333333333,0.709666666666667,0.689,NA,0.649333333333333,0.671,0.645,0.703,0.797,NA,0.69,0.704333333333333,0.661333333333333,0.776666666666667,0.746666666666667,0.632666666666667,0.692,0.761,0.809,0.781,0.761,0.698,0.634,0.628,0.634,NA,0.657333333333333,NA,0.632666666666667,NA,0.681333333333333,0.776666666666667,0.619333333333333
1966,18.285,17.9,16.8733333333333,15.87,17.27,18.3175,18.3175,16.6,0.704333333333333,0.661333333333333,0.776666666666667,0.632666666666667,0.601,0.692,0.76,0.761,0.809,0.628,0.7117,NA,0.743666666666667,0.779333333333333,0.619333333333333,NA,0.774,0.828,0.873,0.766,0.699,0.603,0.639,0.603,NA,0.681333333333333,0.776666666666667,0.619333333333333,0.707083333333333,NA,0.743666666666667,0.636666666666667
1967,18.2708333333333,18.68,16.6,15.6,17.31,17.7533333333333,17.7533333333333,16.4933333333333,0.7117,NA,0.743666666666667,0.619333333333333,NA,NA,0.629,0.774,0.828,0.639,0.717666666666667,0.648,0.745333333333333,0.840666666666667,0.636666666666667,0.635,0.771,0.772,0.928,0.875,0.719,0.586,0.654,0.586,0.707083333333333,NA,0.743666666666667,0.636666666666667,0.696416666666667,0.666,0.745333333333333,0.552666666666667
1968,17.5741666666667,16.83,16.4933333333333,16.57,17.2,17.8866666666667,17.8866666666667,16.7466666666667,0.717666666666667,0.648,0.745333333333333,0.636666666666667,0.673,0.635,0.693,0.771,0.772,0.654,0.65075,0.586,0.717666666666667,0.746666666666667,0.552666666666667,0.585,0.737,0.747,0.859,0.733,0.648,0.578,0.568,0.578,0.696416666666667,0.666,0.745333333333333,0.552666666666667,0.679083333333333,0.613666666666667,0.717666666666667,0.678666666666667
1969,18.0708333333333,17.52,16.7466666666667,15.64,16.53,17.8908333333333,17.8908333333333,16.1466666666667,0.65075,0.586,0.717666666666667,0.552666666666667,0.62,0.585,0.669,0.737,0.747,0.568,0.727166666666667,0.691333333333333,0.761333333333333,0.777333333333333,0.678666666666667,0.769,0.728,0.861,0.886,0.777,0.669,0.646,0.679,0.646,0.679083333333333,0.613666666666667,0.717666666666667,0.678666666666667,0.741916666666667,0.646666666666667,0.761333333333333,0.706333333333333
1970,17.66,17.14,16.1466666666667,16.26,16.32,17.8516666666667,17.8516666666667,16.15,0.727166666666667,0.691333333333333,0.761333333333333,0.678666666666667,0.618,0.769,0.695,0.728,0.861,0.679,0.745333333333333,0.717,0.79,0.768,0.706333333333333,0.77,0.777,0.852,0.829,0.8,0.675,0.66,0.71,0.66,0.741916666666667,0.646666666666667,0.761333333333333,0.706333333333333,0.718833333333333,0.740666666666667,0.79,0.568333333333333
1971,17.8241666666667,17.7,16.15,15.48,16.97,17.8025,17.8025,16.25,0.745333333333333,0.717,0.79,0.706333333333333,0.765,0.77,0.741,0.777,0.852,0.71,0.67825,0.675333333333333,0.749666666666667,0.719666666666667,0.568333333333333,0.74,0.769,0.812,0.75,0.719,0.69,0.558,0.549,0.558,0.718833333333333,0.740666666666667,0.79,0.568333333333333,0.6765,0.677666666666667,0.749666666666667,0.686666666666667
1972,17.84,18.01,16.25,15.45,16.9,17.8066666666667,17.8066666666667,16.2033333333333,0.67825,0.675333333333333,0.749666666666667,0.568333333333333,0.677,0.74,0.668,0.769,0.812,0.549,0.733833333333333,0.626666666666667,0.795666666666667,0.826333333333333,0.686666666666667,0.542,0.804,0.93,0.827,0.879,0.773,0.664,0.654,0.664,0.6765,0.677666666666667,0.749666666666667,0.686666666666667,0.7805,0.596666666666667,0.795666666666667,0.724
1973,17.7758333333333,17.66,16.2033333333333,16.6,16.84,17.9591666666667,17.9591666666667,16.5733333333333,0.733833333333333,0.626666666666667,0.795666666666667,0.686666666666667,0.639,0.542,0.653,0.804,0.93,0.654,0.79475,0.734333333333333,0.853666666666667,0.867,0.724,0.738,0.832,0.981,0.905,0.872,0.824,0.688,0.733,0.688,0.7805,0.596666666666667,0.795666666666667,0.724,0.789166666666667,0.729333333333333,0.853666666666667,0.767333333333333
1974,18.075,17.82,16.5733333333333,16.13,17.85,17.8133333333333,17.8133333333333,16.9133333333333,0.79475,0.734333333333333,0.853666666666667,0.724,0.751,0.738,0.748,0.832,0.981,0.733,0.806083333333333,0.698,0.869666666666667,0.889333333333333,0.767333333333333,0.692,0.865,0.945,0.961,0.878,0.829,0.733,0.79,0.733,0.789166666666667,0.729333333333333,0.853666666666667,0.767333333333333,0.7975,0.677333333333333,0.869666666666667,0.629666666666667
