"","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"1999",0.732,0.791,0.89,1.027,1.07,0.986,0.935,0.842,0.797,0.775,0.797,0.871
"2000",0.896,0.857,0.875,1.016,0.967,0.966,0.933,0.827,0.77,0.723,0.77,0.635
"2001",0.783,0.78,0.784,0.864,0.951,0.904,0.843,0.716,0.678,0.636,0.678,0.676
"2002",0.677,0.654,0.755,0.765,0.869,0.854,0.843,0.717,0.555,0.629,0.555,0.645
"2003",0.652,0.738,0.766,0.813,0.924,0.879,0.767,0.736,0.647,0.598,0.647,0.645
"2004",0.675,0.738,0.682,0.819,0.879,0.896,0.82,0.692,0.721,0.652,0.721,0.699
"2005",0.583,0.679,0.802,0.774,0.931,0.931,0.811,0.77,0.655,0.698,0.655,0.713
"2006",0.652,0.721,0.826,0.827,0.856,0.876,0.763,0.818,0.707,0.64,0.707,0.66
"2007",0.655,0.697,0.759,0.847,0.794,0.903,0.903,0.824,0.74,0.686,0.74,0.766
"2008",0.761,0.868,0.94,0.986,0.952,0.953,0.934,0.805,0.765,0.755,0.765,0.773
"2009",0.803,0.837,0.847,0.831,0.963,0.969,0.784,0.833,0.713,0.672,0.713,0.662
"2010",0.678,0.679,0.73,0.815,0.881,0.852,0.856,0.829,0.855,0.759,0.855,0.882
"2011",0.976,1.05,0.927,1.047,1.02,0.966,0.903,0.865,0.86,0.808,0.86,0.88
"2012",0.97,0.958,0.991,1.006,1.002,1.02,0.843,0.798,0.788,0.75,0.788,0.823
