"Year","FishName","Ages","Site","OtoWidth","FSLann","TannS","TsummS","TautS","TwinS","TsprS","TannW","TsummW","TautW","TwinW","TsprW"
1970,"X050099",24,"South",0.617930824931598,1.00625445535526,0.990205180962663,0.993431826401029,0.994929149895339,0.977505226372664,0.993801480387422,0.989703360608376,0.979282939520821,0.985297575064896,0.997251676149288,0.998959572431605
1970,"X060254",24,"West",0.753229427598641,1.00622002980399,0.990189195252361,0.99341654084501,0.994909783988612,0.977489931399886,0.99378789019677,0.989698869813144,0.979277315428971,0.985298529625273,0.997247920949196,0.998949317260038
1970,"X060091",12,"West",1.35125220354341,1.00618565198671,0.9901730913507,0.993401200454702,0.994890272399122,0.977474482004173,0.993774177263813,0.98969427514808,0.979271660156279,0.985299338875584,0.997244031104067,0.998938953410485
1970,"X040045",7,"South",1.57132161749883,1.00615132296985,0.990156869222723,0.993385805388869,0.994870615337118,0.977458878046995,0.993760341150628,0.989689576459346,0.979265973681226,0.98530000287825,0.997240006269846,0.998928480516223
1970,"X060116",9,"West",0.90405688082406,1.00611704381782,0.990140528835886,0.99337035580787,0.994850813013901,0.977443119397223,0.993746381421096,0.989684773596861,0.979260255988319,0.985300521700224,0.997235846103692,0.998917898210478
1970,"X060228",8,"West",0.704595406293641,1.00608281559266,0.990124070161301,0.993354851874409,0.994830865642913,0.977427205930353,0.993732297641448,0.989679866412875,0.979254507068216,0.985300895413056,0.99723155026325,0.99890720612755
1970,"X040046",15,"South",0.978525266461094,1.00604863935439,0.990107493172565,0.993339293753054,0.994810773438851,0.977411137528587,0.99371808937948,0.989674854763263,0.979248726917821,0.985301124093087,0.997227118407889,0.998896403902136
1970,"X060133",2,"West",3.8684740465122,1.00601451616065,0.990090797847216,0.993323681610646,0.994790536618823,0.977394914081214,0.993703756205976,0.989669738507664,0.979242915540155,0.985301207821125,0.997222550197758,0.998885491169187
1970,"X050289",7,"South",0.833599290783532,1.00598044706748,0.990073984165136,0.993308015615419,0.994770155400713,0.977378535483767,0.993689297692576,0.989664517507837,0.979237072944248,0.985301146681874,0.997217845293858,0.998874467564133
1970,"X060093",4,"West",1.13341203182313,1.00594643312837,0.9900570521092,0.99329229593798,0.994749630004474,0.977362001639554,0.993674713413984,0.989659191629307,0.979231199145326,0.985300940765207,0.997213003358189,0.998863332722804
1970,"X050103",13,"South",0.89923718462476,1.005912475395,0.990040001665426,0.993276522750934,0.994728960651446,0.977345312457512,0.993660002945844,0.989653760740404,0.979225294164779,0.985300590164894,0.997208024053316,0.998852086281511
1970,"X060135",7,"West",0.706466109170081,1.00587857491677,0.990022832823114,0.993260696228753,0.994708147565241,0.97732846785466,0.993645165867103,0.989648224713154,0.979219358030132,0.985300094979617,0.997202907043093,0.998840727877191
1970,"X060113",6,"West",1.20613285831202,1.0058447327413,0.990005545574416,0.993244816547976,0.994687190970243,0.977311467753639,0.993630201757568,0.989642583421705,0.979213390774897,0.985299455312528,0.997197651992235,0.998829257146593
1970,"X060149",33,"West",0.504268775140373,1.00581094991385,0.989988139914184,0.993228883887173,0.994666091093036,0.97729431208487,0.993615110199327,0.989636836744381,0.9792073924388,0.985298671270608,0.997192258566164,0.99881767372732
1970,"X050263",17,"South",0.895307967288039,1.005777227478,0.989970615840702,0.993212898426846,0.994644848161657,0.977277000784314,0.993599890777143,0.989630984562036,0.979201363067824,0.985297742966198,0.997186726432037,0.998805977257527
1970,"X050184",7,"South",0.816838467479344,1.00574356647512,0.989952973355535,0.993196860349561,0.994623462405661,0.977259533796554,0.993584543077274,0.989625026758882,0.979195302713973,0.985296670515788,0.997181055257359,0.998794167375631
1970,"X050088",2,"South",0.92734799613631,1.0057099679445,0.989935212463459,0.99318076984002,0.994601934057075,0.977241911071791,0.993569066688181,0.989618963222685,0.979189211435365,0.985295454040206,0.997175244710786,0.998782243720977
1970,"X060180",18,"West",1.25439478386139,1.00567643292349,0.989917333171588,0.993164627084749,0.994580263348758,0.977224132567459,0.99355346120053,0.989612793843545,0.979183089296314,0.985294093664682,0.99716929446169,0.998770205932651
1970,"X050255",6,"South",1.38649448087193,1.00564296244758,0.989899335490679,0.993148432272644,0.994558450516316,0.977206198247995,0.993537726207113,0.989606518515664,0.979176936367373,0.98529258951987,0.997163204180885,0.998758053650967
1970,"X050247",8,"West",1.322993554613,1.00560955754986,0.9898812194347,0.993132185594431,0.994536495796183,0.977188108084912,0.993521861302852,0.98960013713612,0.979170752725147,0.985290941740124,0.997156973540488,0.998745786516574
1970,"X060141",11,"West",0.860871941063721,1.00557621926203,0.989862985020171,0.993115887242791,0.994514399426719,0.977169862055877,0.993505866084558,0.989593649604935,0.97916453845237,0.98528915046407,0.997150602212748,0.998733404170015
1970,"X060131",2,"West",2.57586144436274,1.00554294861336,0.989844632267256,0.993099537412608,0.994492161647997,0.977151460145863,0.993489740151094,0.98958705582535,0.979158293637999,0.985287215835437,0.99714408987129,0.998720906253284
1970,"X050085",16,"South",0.949377688938991,1.00550974663139,0.989826161199325,0.993083136300657,0.994469782701878,0.977132902346607,0.993473483103766,0.989580355703958,0.979152018377025,0.98528513800229,0.99713743619082,0.998708292408196
1970,"X060115",10,"West",0.873360391121893,1.00547661434176,0.989807571841792,0.993066684105942,0.994447262831799,0.977114188656922,0.993457094545304,0.989573549150297,0.979145712770678,0.985282917116647,0.997130640846695,0.998695562276829
1970,"X060264",16,"West",0.780625529342574,1.00544355276849,0.989788864224149,0.993050181029227,0.994424602283115,0.977095319081766,0.99344057408104,0.989566636077189,0.979139376926266,0.985280553335244,0.997123703515282,0.998682715502273
1970,"X060251",20,"West",0.949962382169315,1.00541056293306,0.989770038378873,0.993033627273773,0.994401801302963,0.977076293634247,0.993423921318439,0.989559616400471,0.979133010957339,0.985278046819918,0.997116623874399,0.998669751728032
1970,"X060089",31,"West",0.699092569093573,1.00537764585551,0.989751094341574,0.993017023044531,0.994378860139782,0.977057112333462,0.993407135867255,0.989552490039605,0.979126614983522,0.985275397736649,0.997109401602878,0.998656670598102
1970,"X060266",6,"West",0.899220840327076,1.00534480255415,0.989732032150411,0.993000368548712,0.994355779044061,0.977037775205117,0.993390217338511,0.989545256916587,0.979120189130649,0.985272606255236,0.997102036379475,0.998643471756672
1970,"X050116",8,"South",1.37818629042543,1.00531203404461,0.98971285184769,0.992983663995723,0.994332558268614,0.977018282282903,0.993373165346623,0.989537916957657,0.979113733530692,0.985269672551285,0.997094527885707,0.998630154849316
1970,"X050229",9,"West",1.02554391193518,1.00527934134166,0.989693553478048,0.992966909596827,0.994309198067143,0.976998633606426,0.993355979507198,0.989530470091108,0.979107248321799,0.985266596803837,0.997086875802727,0.998616719521358
1970,"X040019",16,"South",0.75503594032982,1.00524672545743,0.98967413708954,0.992950105565342,0.994285698695606,0.976978829222967,0.993338659438133,0.989522916248861,0.979100733648225,0.985263379196646,0.997079079813432,0.998603165418838
1970,"X060267",21,"West",0.70651910481579,1.00521418740273,0.989654602733787,0.992933252116949,0.994262060411526,0.976958869186486,0.993321204760176,0.989515255366602,0.979094189660571,0.98526001991863,0.997071139601375,0.998589492188814
1970,"X060117",14,"West",0.782650248875707,1.0051817281864,0.989634950464809,0.992916349469319,0.994238283473932,0.976938753557617,0.99330361509534,0.989507487382341,0.979087616515374,0.985256519162079,0.997063054851127,0.998575699477869
1970,"X060270",6,"West",1.06659420795694,1.00514934881551,0.989615180340263,0.99289939784194,0.994214368144642,0.976918482403823,0.993285890068093,0.989499612237379,0.979081014375433,0.98525287712444,0.997054825248425,0.998561786933977
1970,"X050193",2,"South",1.00668287202891,1.00511705029495,0.989595292421147,0.992882397456832,0.994190314686634,0.976898055800393,0.993268029305515,0.989491629876981,0.979074383409721,0.985249094008003,0.9970464504801,0.998547754205832
1970,"X050134",3,"South",0.682535785416831,1.00508483362835,0.989575286771077,0.992865348537965,0.994166123364589,0.976877473828516,0.993250032436429,0.989483540249015,0.979067723793395,0.985245170018936,0.997037930234151,0.998533600942103
1970,"X060253",11,"West",0.903760335521869,1.00505269981753,0.989555163457159,0.992848251311231,0.994141794444477,0.976856736576206,0.993231899091643,0.989475343304633,0.979061035707685,0.985241105367736,0.997029264198726,0.998519326791739
1970,"X040033",3,"South",1.39442989297854,1.00502064986239,0.9895349225494,0.992831106004776,0.994117328195127,0.976835844139297,0.993213628904259,0.98946703899793,0.97905431934012,0.985236900269737,0.997020452064015,0.998504931404855
1970,"X060269",8,"West",0.877800606021918,1.004988684761,0.989514564121225,0.992813912849006,0.994092724886998,0.976814796620287,0.993195221509997,0.989458627286628,0.979047574884268,0.985232554944917,0.997011493520869,0.998490414432139
1971,"X050110",7,"South",0.835817813239285,1.03006345043321,0.982952126700663,0.98110492122743,0.996410905967909,0.990248051347814,0.96212170913455,0.9926556244885,0.995920816376911,1.00596471439926,0.998786892267526,0.967432255958597
1971,"X040055",24,"South",0.950013508864938,1.03003086376204,0.982931669615964,0.981087836668182,0.996385970727763,0.990226399820394,0.962103610425773,0.992646969905815,0.995913899107541,1.0059599919501,0.998777623423859,0.967417953708915
1971,"X050103",14,"South",1.30371028122666,1.02999836711429,0.982911096028124,0.981070705522484,0.996360898927861,0.990204591423434,0.962085377764211,0.992638207461379,0.995906953888379,1.0059551270161,0.9987682069864,0.967403532651604
1971,"X050099",25,"South",0.634102397384189,1.02996596149034,0.982890406026592,0.981053528033175,0.996335690845415,0.99018262628085,0.962067010822927,0.992629337123352,0.995899980931331,1.0059501198274,0.99875864264861,0.967388992468558
1971,"X060028",11,"South",0.95331468636405,1.02993364788112,0.982869599706219,0.981036304448844,0.996310346758377,0.99016050452019,0.962048509286686,0.992620358862635,0.995892980449707,1.00594497061283,0.998748930104108,0.967374332851575
1971,"X060254",25,"West",0.778226852850423,1.02990142726791,0.982848677166826,0.981019035023556,0.996284866945781,0.990138226271468,0.962029872851652,0.992611272652399,0.995885952657929,1.00593967959923,0.998739069048053,0.96735955350149
1971,"X040045",8,"South",1.1326840755383,1.02986930062311,0.982827638513277,0.981001720016918,0.996259251688015,0.990115791667317,0.962011101224615,0.992602078467532,0.995878897771645,1.00593424701175,0.99872905917496,0.967344654128823
1971,"X060093",5,"West",0.991511804313673,1.02983726890899,0.982806483855763,0.980984359694266,0.996233501266205,0.990093200844705,0.961992194123379,0.99259277628594,0.995871816007698,1.00592867307393,0.998718900181106,0.967329634454352
1971,"X060091",13,"West",0.958093849074092,1.02980533307856,0.98278521330973,0.980966954326406,0.996207615963238,0.99007045394228,0.961973151277064,0.992583366087246,0.995864707584217,1.00592295800735,0.998708591761904,0.967314494207678
1971,"X060116",10,"West",1.01013008851285,1.02977349407533,0.982763826995158,0.980949504189787,0.996181596063011,0.990047551102788,0.961953972426255,0.99257384785382,0.995857572720543,1.00591710203233,0.998698133614462,0.967299233128728
1971,"X050193",3,"South",0.823939360017558,1.02974175283359,0.982742325037854,0.980932009566427,0.996155441850018,0.990024492471512,0.961934657322469,0.992564221569886,0.995850411637225,1.00591110536688,0.998687525435825,0.967283850966466
1971,"X050184",8,"South",0.897598148491405,1.02971011027822,0.982720707568445,0.980914470743949,0.996129153610785,0.990001278197129,0.961915205728535,0.992554487222204,0.995843224556051,1.00590496822813,0.998676766923714,0.967268347480183
1971,"X040036",10,"South",0.946302214963502,1.02967856732416,0.982698974723022,0.980896888015714,0.996102731632775,0.989977908431475,0.961895617418512,0.992544644799872,0.995836011700166,1.00589869083134,0.998665857776958,0.967252722438417
1971,"X040070",18,"South",0.938600910737914,1.02964712487734,0.982677126642782,0.980879261680599,0.996076176204797,0.989954383329542,0.961875892177925,0.992534694294524,0.995828773293792,1.00589227338967,0.998654797694404,0.967236975619531
1971,"X060251",21,"West",0.872873105112801,1.02961578383441,0.982655163474166,0.980861592043064,0.996049487616666,0.989930703049166,0.961856029802991,0.992524635699441,0.995821509562487,1.00588571611474,0.998643586375355,0.967221106811563
1971,"X050263",18,"South",0.893759962467469,1.02958454508279,0.982633085368284,0.980843879413152,0.996022666159333,0.989906867751029,0.961836030101078,0.992514469010649,0.995814220732986,1.00587901921648,0.998632223519934,0.9672051158118
1971,"X050289",8,"South",1.11944872304399,1.02955340950032,0.982610892481707,0.980826124106604,0.995995712125162,0.989882877599043,0.961815892890936,0.992504194226097,0.995806907033312,1.00587218290326,0.99862070882843,0.967189002427631
1971,"X050088",3,"South",0.747552338917214,1.02952237795554,0.982588584976462,0.980808326444891,0.995968625807518,0.989858732760972,0.961795618002922,0.992493811346817,0.995799568692728,1.00586520738171,0.998609042002468,0.967172766476269
1971,"X060149",34,"West",0.613440953338426,1.02949145130714,0.982566163019748,0.980790486754928,0.99594140750138,0.989834433407111,0.961775205278003,0.992483320375764,0.995792205941735,1.00585809285728,0.99859722274391,0.967156407784236
1971,"X060180",19,"West",1.10076262482726,1.02946063040561,0.982543626783422,0.98077260536929,0.995914057502519,0.98980997971067,0.96175465456875,0.992472721317677,0.995784819012075,1.00585083953251,0.998585250754496,0.967139926187731
1971,"X050134",4,"South",0.781461562727635,1.02942991609127,0.982520976445301,0.980754682626264,0.99588657610825,0.989785371848942,0.961733965738496,0.992462014180036,0.99577740813676,1.00584344760946,0.998573125737594,0.967123321532835
1971,"X040018",1,"South",1.56520893600971,1.02939930919573,0.982498212187647,0.980736718869792,0.995858963617159,0.989760610000656,0.961713138662248,0.992451198972859,0.995769973550041,1.00583591728783,0.998560847396524,0.967106593675304
