"","Year","FishName","Ages","Site","OtoWidth","FSLann","TannS","TsummS","TautS","TwinS","TsprS","TannW","TsummW","TautW","TwinW","TsprW"
"480",1970,"X060135",7,"West",0.706466109170081,1.00587857491677,0.990022832823114,0.993260696228753,0.994708147565241,0.97732846785466,0.993645165867103,0.989648224713154,0.979219358030132,0.985300094979617,0.997202907043093,0.998840727877191
"481",1970,"X060113",6,"West",1.20613285831202,1.0058447327413,0.990005545574416,0.993244816547976,0.994687190970243,0.977311467753639,0.993630201757568,0.989642583421705,0.979213390774897,0.985299455312528,0.997197651992235,0.998829257146593
"482",1970,"X060149",33,"West",0.504268775140373,1.00581094991385,0.989988139914184,0.993228883887173,0.994666091093036,0.97729431208487,0.993615110199327,0.989636836744381,0.9792073924388,0.985298671270608,0.997192258566164,0.99881767372732
"486",1970,"X060180",18,"West",1.25439478386139,1.00567643292349,0.989917333171588,0.993164627084749,0.994580263348758,0.977224132567459,0.99355346120053,0.989612793843545,0.979183089296314,0.985294093664682,0.99716929446169,0.998770205932651
"488",1970,"X050247",8,"West",1.322993554613,1.00560955754986,0.9898812194347,0.993132185594431,0.994536495796183,0.977188108084912,0.993521861302852,0.98960013713612,0.979170752725147,0.985290941740124,0.997156973540488,0.998745786516574
"489",1970,"X060141",11,"West",0.860871941063721,1.00557621926203,0.989862985020171,0.993115887242791,0.994514399426719,0.977169862055877,0.993505866084558,0.989593649604935,0.97916453845237,0.98528915046407,0.997150602212748,0.998733404170015
"490",1970,"X060131",2,"West",2.57586144436274,1.00554294861336,0.989844632267256,0.993099537412608,0.994492161647997,0.977151460145863,0.993489740151094,0.98958705582535,0.979158293637999,0.985287215835437,0.99714408987129,0.998720906253284
"492",1970,"X060115",10,"West",0.873360391121893,1.00547661434176,0.989807571841792,0.993066684105942,0.994447262831799,0.977114188656922,0.993457094545304,0.989573549150297,0.979145712770678,0.985282917116647,0.997130640846695,0.998695562276829
"493",1970,"X060264",16,"West",0.780625529342574,1.00544355276849,0.989788864224149,0.993050181029227,0.994424602283115,0.977095319081766,0.99344057408104,0.989566636077189,0.979139376926266,0.985280553335244,0.997123703515282,0.998682715502273
"494",1970,"X060251",20,"West",0.949962382169315,1.00541056293306,0.989770038378873,0.993033627273773,0.994401801302963,0.977076293634247,0.993423921318439,0.989559616400471,0.979133010957339,0.985278046819918,0.997116623874399,0.998669751728032
"495",1970,"X060089",31,"West",0.699092569093573,1.00537764585551,0.989751094341574,0.993017023044531,0.994378860139782,0.977057112333462,0.993407135867255,0.989552490039605,0.979126614983522,0.985275397736649,0.997109401602878,0.998656670598102
"496",1970,"X060266",6,"West",0.899220840327076,1.00534480255415,0.989732032150411,0.993000368548712,0.994355779044061,0.977037775205117,0.993390217338511,0.989545256916587,0.979120189130649,0.985272606255236,0.997102036379475,0.998643471756672
"498",1970,"X050229",9,"West",1.02554391193518,1.00527934134166,0.989693553478048,0.992966909596827,0.994309198067143,0.976998633606426,0.993355979507198,0.989530470091108,0.979107248321799,0.985266596803837,0.997086875802727,0.998616719521358
"500",1970,"X060267",21,"West",0.70651910481579,1.00521418740273,0.989654602733787,0.992933252116949,0.994262060411526,0.976958869186486,0.993321204760176,0.989515255366602,0.979094189660571,0.98526001991863,0.997071139601375,0.998589492188814
"501",1970,"X060117",14,"West",0.782650248875707,1.0051817281864,0.989634950464809,0.992916349469319,0.994238283473932,0.976938753557617,0.99330361509534,0.989507487382341,0.979087616515374,0.985256519162079,0.997063054851127,0.998575699477869
"502",1970,"X060270",6,"West",1.06659420795694,1.00514934881551,0.989615180340263,0.99289939784194,0.994214368144642,0.976918482403823,0.993285890068093,0.989499612237379,0.979081014375433,0.98525287712444,0.997054825248425,0.998561786933977
"505",1970,"X060253",11,"West",0.903760335521869,1.00505269981753,0.989555163457159,0.992848251311231,0.994141794444477,0.976856736576206,0.993231899091643,0.989475343304633,0.979061035707685,0.985241105367736,0.997029264198726,0.998519326791739
"507",1970,"X060269",8,"West",0.877800606021918,1.004988684761,0.989514564121225,0.992813912849006,0.994092724886998,0.976814796620287,0.993195221509997,0.989458627286628,0.979047574884268,0.985232554944917,0.997011493520869,0.998490414432139
"513",1971,"X060254",25,"West",0.778226852850423,1.02990142726791,0.982848677166826,0.981019035023556,0.996284866945781,0.990138226271468,0.962029872851652,0.992611272652399,0.995885952657929,1.00593967959923,0.998739069048053,0.96735955350149
"515",1971,"X060093",5,"West",0.991511804313673,1.02983726890899,0.982806483855763,0.980984359694266,0.996233501266205,0.990093200844705,0.961992194123379,0.99259277628594,0.995871816007698,1.00592867307393,0.998718900181106,0.967329634454352
