"Year","FSLann","FSLsumm","FSLaut","FSLwin","FSLspr","TannS","TsummS","TautS","TwinS","TsprS","TannW","TsummW","TautW","TwinW","TsprW"
1960,0.672416666666667,0.598666666666667,0.753666666666667,0.74,0.597333333333333,18.2983333333333,19.5633333333333,19.3033333333333,16.9666666666667,17.36,19.545,20.6566666666667,20.56,18.33,18.6333333333333
1961,0.669916666666667,0.659,0.729666666666667,0.72,0.571,18.84,20.21,20.43,17.4566666666667,17.2633333333333,19.9341666666667,21.2466666666667,21.7,18.3266666666667,18.4633333333333
1962,0.760333333333333,0.729333333333333,0.783666666666667,0.850666666666667,0.677666666666667,19.1016666666667,20.5566666666667,20.6433333333333,17.6666666666667,17.54,20.2616666666667,21.53,21.81,19.1933333333333,18.5133333333333
1963,0.790583333333333,0.746333333333333,0.867666666666667,0.908,0.640333333333333,18.935,20.1766666666667,20.81,17.2966666666667,17.4566666666667,20.0541666666667,21.0566666666667,22.0066666666667,18.4833333333333,18.67
1964,0.758083333333333,0.632,0.758333333333333,0.949666666666667,0.692333333333333,18.47,19.7533333333333,19.6933333333333,17.46,16.9733333333333,19.5858333333333,20.4733333333333,21.0066666666667,19.05,17.8133333333333
1965,0.709666666666667,0.689,NA,NA,0.649333333333333,18.4841666666667,19.8333333333333,19.8633333333333,17.2666666666667,16.9733333333333,19.9266666666667,21.0833333333333,21.3333333333333,18.96,18.33
1966,0.704333333333333,0.661333333333333,0.776666666666667,0.746666666666667,0.632666666666667,18.4966666666667,19.9733333333333,19.7166666666667,17.1033333333333,17.1933333333333,19.76,21.27,21.1633333333333,18.5233333333333,18.0833333333333
1967,0.7117,NA,0.743666666666667,0.779333333333333,0.619333333333333,18.8691666666667,20.32,20.1566666666667,17.5233333333333,17.4766666666667,20.1866666666667,21.1533333333333,21.4966666666667,19.3433333333333,18.7533333333333
1968,0.717666666666667,0.648,0.745333333333333,0.840666666666667,0.636666666666667,17.9216666666667,19.3666666666667,18.7466666666667,16.9333333333333,16.64,19.1483333333333,20.5133333333333,19.7966666666667,18.0733333333333,18.21
1969,0.65075,0.586,0.717666666666667,0.746666666666667,0.552666666666667,18.4483333333333,19.4866666666667,19.51,17.2933333333333,17.5033333333333,19.6066666666667,20.7233333333333,20.5966666666667,18.6133333333333,18.4933333333333
1970,0.727166666666667,0.691333333333333,0.761333333333333,0.777333333333333,0.678666666666667,18.4025,19.8133333333333,19.8,16.94,17.0566666666667,19.5491666666667,20.4933333333333,20.7466666666667,18.6233333333333,18.3333333333333
1971,0.745333333333333,0.717,0.79,0.768,0.706333333333333,18.2808333333333,19.58,19.8466666666667,17.1733333333333,16.5233333333333,19.6125,20.8466666666667,21.1833333333333,18.6566666666667,17.7633333333333
1972,0.67825,0.675333333333333,0.749666666666667,0.719666666666667,0.568333333333333,18.6833333333333,20.35,20.19,17.3633333333333,16.83,19.6725,21.0933333333333,21.3766666666667,18.2033333333333,18.0166666666667
1973,0.733833333333333,0.626666666666667,0.795666666666667,0.826333333333333,0.686666666666667,18.465,20.12,19.5033333333333,17.2133333333333,17.0233333333333,19.5841666666667,21.0733333333333,20.5733333333333,18.44,18.25
1974,0.79475,0.734333333333333,0.853666666666667,0.867,0.724,18.6208333333333,19.88,20.2533333333333,17.25,17.1,19.6358333333333,20.8466666666667,21.08,18.27,18.3466666666667
1975,0.806083333333333,0.698,0.869666666666667,0.889333333333333,0.767333333333333,19.0725,20.3533333333333,20.2,17.8466666666667,17.89,20.1266666666667,21.2933333333333,21.2733333333333,19.07,18.87
1976,0.735583333333333,0.735,0.817666666666667,0.76,0.629666666666667,19.0133333333333,19.99,20.5433333333333,18.1466666666667,17.3733333333333,20.0241666666667,20.8066666666667,21.5166666666667,19.23,18.5433333333333
1977,0.682166666666667,0.658,0.721333333333333,0.750333333333333,0.599,18.6458333333333,20.25,19.5133333333333,17.2833333333333,17.5366666666667,19.5433333333333,21.02,20.1333333333333,18.5166666666667,18.5033333333333
1978,0.745666666666667,0.675,0.819333333333333,0.812666666666667,0.675666666666667,19.2108333333333,20.4566666666667,20.89,17.6233333333333,17.8733333333333,20.3633333333333,21.5033333333333,22.0466666666667,19.0933333333333,18.81
1979,0.691666666666667,0.611666666666667,0.772,0.734333333333333,0.648666666666667,18.6825,19.9666666666667,19.85,17.5366666666667,17.3766666666667,19.9708333333333,20.8466666666667,21.14,19.1266666666667,18.77
1980,0.692083333333333,0.654,0.776,0.737333333333333,0.601,18.8183333333333,20.1,20.4566666666667,17.6433333333333,17.0733333333333,19.9991666666667,21.0266666666667,21.5966666666667,19.0166666666667,18.3566666666667
1981,0.722083333333333,0.608666666666667,0.759,0.818,0.702666666666667,18.3833333333333,19.63,20.1766666666667,16.9466666666667,16.78,19.7141666666667,20.5566666666667,21.5133333333333,18.55,18.2366666666667
1982,0.672,0.633333333333333,0.711666666666667,0.739666666666667,0.603333333333333,18.6208333333333,19.9166666666667,19.7033333333333,17.4133333333333,17.45,19.84,20.8266666666667,20.9866666666667,18.95,18.5966666666667
1983,0.730166666666667,0.645666666666667,0.751666666666667,0.861333333333333,0.662,19.8491666666667,20.7433333333333,21.48,18.81,18.3633333333333,20.76,21.4733333333333,22.28,19.5366666666667,19.75
1984,0.766416666666667,0.670333333333333,0.87,0.824,0.701333333333333,19.6091666666667,20.8766666666667,21.1033333333333,18.4166666666667,18.04,20.6425,21.6233333333333,21.6233333333333,20.1466666666667,19.1766666666667
1985,0.737166666666667,0.686333333333333,0.81,0.808666666666667,0.643666666666667,19.29,20.1366666666667,20.7133333333333,18.39,17.92,20.1541666666667,20.83,21.64,19.2233333333333,18.9233333333333
1986,0.694083333333333,0.646,0.765333333333333,0.754,0.611,18.8558333333333,20.04,20.3866666666667,17.88,17.1166666666667,19.7633333333333,20.7433333333333,20.9533333333333,19.33,18.0266666666667
1987,0.65525,0.571333333333333,0.703,0.763,0.583666666666667,18.9991666666667,19.5433333333333,20.3266666666667,18.0866666666667,18.04,20.145,20.2066666666667,21.6433333333333,19.71,19.02
1988,0.776916666666667,0.669,0.811,0.853,0.774666666666667,19.6091666666667,20.2833333333333,21.2933333333333,18.7366666666667,18.1233333333333,20.7025,21.38,22.16,19.84,19.43
1989,0.780083333333333,0.741,0.874333333333333,0.811333333333333,0.693666666666667,19.8141666666667,20.8133333333333,21.4033333333333,18.8466666666667,18.1933333333333,20.7966666666667,21.8866666666667,22.7833333333333,19.6033333333333,18.9133333333333
1990,0.69875,0.685333333333333,0.755333333333333,0.726,0.628333333333333,19.3475,20.4666666666667,20.9333333333333,18.2,17.79,20.1675,20.98,21.94,18.9933333333333,18.7566666666667
