,(Intercept),FinFSLdat_AnnEsts,FinWestSST_AnnEsts,FinWestSST_SummerDat,FSL_months_Apr,FSLdat_Spring,s(Ages),SST_West_Months_Jul,SST_West_Months_Jun,SST_West_Months_Oct,SST_West_Months_Sep,WestSST_Spring,WestSST_Winter,df,logLik,AICc,delta,weight
3200,-12.52946734,-4.498611519,1.581790546,0.374156404,2.901924452,4.085535039,+,0.555701023,NA,NA,NA,-0.62055121,-0.440622179,13,-3292.006336,6610.330022,4.805749539,0.004574545
1588,-8.498152358,-6.553632766,1.651214451,NA,NA,8.12588815,+,NA,NA,NA,0.775295625,-1.075248434,NA,10,-3295.07965,6610.350605,4.826332536,0.004527708
1788,-9.521692603,-7.510623379,1.820274127,NA,3.838069459,6.701339396,+,0.178926488,-0.17461834,NA,0.75919484,-1.260096449,NA,13,-3292.027245,6610.371839,4.847566161,0.004479892
3260,-8.969465958,-6.238708024,1.857083383,NA,3.92936809,5.543824838,+,NA,-0.186519082,NA,NA,-0.785446888,0.376660422,12,-3293.090473,6610.452724,4.928451312,0.004302329
2304,-9.948188171,-4.461222163,1.139189783,0.363942759,2.652067199,3.602514603,+,1.287830792,0.569348361,NA,NA,NA,-1.997037823,13,-3292.09225,6610.50185,4.977577514,0.004197937
52,-5.941310051,-4.603949383,1.219623918,NA,NA,6.441861771,+,NA,NA,NA,NA,NA,NA,8,-3297.206295,6610.537589,5.013316449,0.004123589
1984,-13.29216636,-7.294727611,2.200314752,0.266822219,3.532140663,6.384121294,+,NA,-0.119317352,0.485558573,0.94130336,-2.288139188,NA,14,-3291.114109,6610.59471,5.070437111,0.004007484
4096,-11.82257964,-6.61758765,1.738724293,0.328421707,3.202329052,5.432230703,+,1.019615605,0.429762977,0.456080529,0.931818394,-1.771006279,-1.689573874,16,-3289.07453,6610.624584,5.100311528,0.003948068
2816,-7.86372429,-5.574970644,0.912891275,0.280551704,2.600093706,4.563627644,+,1.583145589,0.735078358,NA,0.569322454,NA,-2.776705668,14,-3291.166709,6610.69991,5.175637231,0.003802138
2810,5.036257245,-2.342103165,NA,NA,2.250975089,3.962795705,+,1.558260968,0.535666892,NA,0.910678949,NA,-2.366304404,12,-3293.222813,6610.717404,5.193131207,0.003769025
3452,-7.347677035,-5.374465473,1.628938595,NA,3.667003174,4.963351005,+,0.508666939,NA,0.256505497,NA,-0.862470747,-0.342141063,13,-3292.214784,6610.746918,5.222645482,0.003713814
2044,-9.336938536,-7.181994179,1.920631418,NA,3.680496437,6.691869106,+,0.221950497,-0.178657207,0.507561223,0.920483421,-2.084270051,NA,14,-3291.257694,6610.88188,5.357607672,0.00347147
1844,-8.362366613,-6.43093355,1.803405409,NA,NA,8.183869462,+,NA,NA,0.498986293,0.95109329,-1.919759207,NA,11,-3294.330754,6610.891274,5.367001233,0.003455204
2688,-7.825910303,-4.284987823,0.836982311,0.238248978,2.101880699,4.698980792,+,0.905691089,NA,NA,0.462435696,NA,-1.1469408,13,-3292.303296,6610.923942,5.399669104,0.003399225
3328,-12.11254804,-4.958416811,1.529616392,0.396880679,3.063663413,3.835767143,+,0.996453995,0.438209049,NA,NA,-0.475426938,-1.447401924,14,-3291.292088,6610.950667,5.426394675,0.003354104
128,-10.73172748,-4.418609968,0.922449599,0.207591479,1.774349907,4.495394967,+,0.319746381,NA,NA,NA,NA,NA,11,-3294.367951,6610.965667,5.441394011,0.003329044
2236,-6.589178771,-4.877012603,1.16900429,NA,2.732557773,5.261421344,+,NA,-0.322241494,NA,NA,NA,0.358028963,11,-3294.378764,6610.987293,5.463020687,0.003293239
1580,-7.486523499,-0.811385565,1.825370376,NA,4.759785284,NA,+,NA,NA,NA,0.618743343,-1.303932832,NA,10,-3295.407435,6611.006174,5.481901071,0.003262297
1216,-13.27936163,-6.023357109,2.054639387,0.331909277,3.609081884,4.858458465,+,NA,0.002040437,NA,NA,-0.926331453,NA,12,-3293.387282,6611.046341,5.522068683,0.003197431
3776,-13.33559335,-7.256561663,2.015963429,0.25513056,3.535497795,6.266436135,+,NA,-0.170203383,NA,0.753251966,-1.453034735,0.098215887,14,-3291.34551,6611.057513,5.533240394,0.003179621
1408,-14.2306571,-4.62451123,1.809617554,0.386616648,2.835170625,4.126211662,+,0.339611457,NA,0.330704024,NA,-1.341617003,NA,13,-3292.371966,6611.061282,5.537009229,0.003173634
2620,-6.683159014,-6.292782589,1.175438205,NA,2.76879792,5.90009818,+,NA,NA,NA,0.268079247,NA,-0.204396798,11,-3294.450814,6611.131394,5.607120957,0.003064307
636,-8.014662662,-5.298327841,0.933674264,NA,2.254405671,5.240716017,+,0.285782804,NA,NA,0.100622442,NA,NA,11,-3294.455143,6611.140051,5.615778176,0.003051072
1592,-14.66182278,-5.661399464,1.789198578,0.418105307,NA,6.713715574,+,NA,NA,NA,0.701128489,-1.277901467,NA,11,-3294.465582,6611.160928,5.636655791,0.003019388
252,-6.52544997,-4.516398055,1.050414296,NA,2.664646795,4.93025787,+,0.37257304,-0.217597682,NA,NA,NA,NA,11,-3294.481111,6611.191986,5.667713512,0.002972863
1068,-6.193200583,-0.658050399,1.80507968,NA,4.762473031,NA,+,NA,NA,NA,NA,-0.747544814,NA,9,-3296.518731,6611.193849,5.669576069,0.002970095
2428,-5.725001078,-4.837164728,1.155239645,NA,3.140080537,4.804453836,+,0.688009021,NA,-0.012889354,NA,NA,-0.681731286,12,-3293.487461,6611.246698,5.722425462,0.002892639
1276,-8.403081448,-5.871441732,1.675333026,NA,3.75127978,5.26509065,+,0.297290724,-0.083845529,NA,NA,-0.643365524,NA,12,-3293.49814,6611.268057,5.743784845,0.002861911
828,-8.531397731,-6.878428636,1.330381484,NA,3.098891107,6.047136772,+,NA,NA,-0.259300775,0.249444265,NA,NA,11,-3294.54182,6611.313404,5.789131561,0.002797752
380,-8.409354264,-5.696641051,1.192151726,NA,2.866737938,5.252412496,+,0.268979494,NA,-0.15359428,NA,NA,NA,11,-3294.567497,6611.364759,5.840486017,0.002726828
1468,-8.42974452,-6.772823076,2.067570723,NA,4.296575949,5.614145291,+,NA,0.013417041,0.198134665,NA,-1.059892642,NA,12,-3293.563878,6611.399532,5.875259578,0.002679827
700,-5.944426478,-5.654988434,1.098165283,NA,2.648155819,5.894444002,+,NA,-0.248082064,NA,0.347748545,NA,NA,11,-3294.596918,6611.423601,5.89932867,0.00264777
3392,-14.46345668,-5.613497538,2.093015819,0.356875935,3.316768334,4.632790304,+,NA,NA,0.28739894,NA,-1.445537339,0.228921925,13,-3292.568781,6611.454911,5.930638859,0.002606642
320,-10.94161513,-5.852156765,1.437380978,0.211300658,2.866184123,5.09329176,+,NA,NA,-0.234396277,NA,NA,NA,11,-3294.659225,6611.548215,6.02394197,0.002487831
116,-7.002485513,-3.984811827,0.920816634,NA,NA,5.790750395,+,0.368401305,NA,NA,NA,NA,NA,9,-3296.69596,6611.548306,6.02403313,0.002487717
4032,-13.60450708,-6.741311011,2.114742314,0.277485212,3.277886087,6.17883377,+,NA,-0.224992533,0.512835613,0.898125135,-2.304843549,0.231640237,15,-3290.565496,6611.550206,6.025933668,0.002485354
3068,-4.496561343,-6.753572385,0.99735317,NA,3.351925917,5.555062183,+,1.451924865,0.676629101,-0.041830896,0.643365085,NA,-2.59245492,14,-3291.595851,6611.558194,6.033921827,0.002475447
2940,-5.074658531,-5.495497376,0.942767194,NA,2.840413478,5.588167728,+,0.824296482,NA,-0.063415485,0.538332879,NA,-1.085343678,13,-3292.629498,6611.576346,6.05207354,0.002453082
3580,-6.848346175,-5.785302275,1.585458326,NA,3.827363958,4.850530117,+,0.812311751,0.304861716,0.22125375,NA,-0.704375005,-1.047890569,14,-3291.609068,6611.584628,6.0603549,0.002442946
1848,-14.68900814,-5.510550127,1.950040187,0.429448093,NA,6.735263838,+,NA,NA,0.515050694,0.880575442,-2.155101526,NA,12,-3293.672484,6611.616745,6.092471949,0.002404029
576,-9.270823455,-5.528169293,1.107309134,0.138067087,2.235101515,5.264303106,+,NA,NA,NA,0.127059596,NA,NA,11,-3294.694552,6611.618868,6.094595877,0.002401477
122,4.675814825,0.566323544,NA,NA,1.768395105,2.435049646,+,0.596150855,NA,NA,NA,NA,NA,9,-3296.73327,6611.622926,6.098652899,0.002396611
1076,-6.246839332,-4.802133362,1.565218202,NA,NA,6.789376875,+,NA,NA,NA,NA,-0.360250403,NA,9,-3296.744714,6611.645814,6.121541707,0.002369339
2112,-9.263767899,-5.341569829,1.247944397,0.175501654,2.499403365,4.999791045,+,NA,NA,NA,NA,NA,-0.075873696,11,-3294.734862,6611.699489,6.175216102,0.002306599
1836,-7.288311805,-0.580496667,1.956772988,NA,4.691959401,NA,+,NA,NA,0.464296377,0.781300193,-2.081337711,NA,11,-3294.749391,6611.728546,6.204273526,0.002273329
44,-5.024990643,0.101304769,1.081053518,NA,3.355564247,NA,+,NA,NA,NA,NA,NA,NA,8,-3297.81006,6611.74512,6.220847147,0.002254568
3456,-12.78275445,-4.077192549,1.642314736,0.39678708,2.74998949,3.869300832,+,0.565216182,NA,0.30050813,NA,-1.068092802,-0.381118925,14,-3291.69955,6611.765593,6.241320225,0.002231607
2364,-7.861853831,-6.508833793,1.492198356,NA,3.474201189,5.641910361,+,NA,NA,-0.204964975,NA,NA,-0.033138958,11,-3294.771741,6611.773248,6.248975338,0.002223082
3706,3.605189935,-1.64709042,NA,NA,1.82939085,4.079300415,+,1.070764814,NA,NA,0.752127151,0.101167512,-1.210778167,12,-3293.764654,6611.801085,6.276812433,0.002192354
3264,-13.79554286,-5.263692271,1.894277977,0.339257476,3.187820444,4.677411933,+,NA,-0.194194179,NA,NA,-0.938231554,0.396494808,13,-3292.75243,6611.82221,6.297937488,0.002169319
2556,-5.410022323,-5.627683161,1.222471815,NA,3.538923649,4.6743808,+,1.108500312,0.473392201,0.00909132,NA,NA,-1.681032631,13,-3292.758994,6611.835338,6.311065708,0.002155126
1080,-13.68640835,-3.95711922,1.735756117,0.487597852,NA,5.291693216,+,NA,NA,NA,NA,-0.67636509,NA,10,-3295.830632,6611.852569,6.328296029,0.002136639
2686,-0.306408816,-0.552826757,NA,0.298070135,1.161147956,3.163001076,+,1.104109356,NA,NA,0.708273266,NA,-1.209528076,12,-3293.810371,6611.892519,6.368246244,0.002094383
2676,-4.161425826,-4.171077157,0.726540794,NA,NA,6.387098734,+,0.866308782,NA,NA,0.604456885,NA,-1.032227352,11,-3294.860476,6611.950717,6.426444529,0.002034316
3516,-8.867255218,-5.813147375,1.895606477,NA,3.799640985,5.384525809,+,NA,-0.218133275,0.27717848,NA,-1.182991284,0.478568862,13,-3292.819924,6611.957197,6.432924412,0.002027736
3834,4.120864714,-2.720049944,NA,NA,2.21630268,3.99777619,+,1.661683062,0.611819983,NA,0.801892893,0.235828736,-2.611215872,13,-3292.834208,6611.985765,6.461492256,0.001998978
3700,-5.993463217,-5.220101979,1.171513221,NA,NA,7.275683376,+,0.671160928,NA,NA,0.808743794,-0.643250443,-0.769541097,12,-3293.87721,6612.026197,6.501924827,0.001958972
56,-10.56605563,-3.947347213,1.134141289,0.314343531,NA,5.279909891,+,NA,NA,NA,NA,NA,NA,9,-3296.941811,6612.040008,6.515735564,0.001945491
1792,-13.36210478,-6.534357114,1.822821105,0.278391947,3.20084807,5.850304838,+,0.208812231,-0.171136544,NA,0.69719111,-1.32565687,NA,14,-3291.843558,6612.053608,6.52933546,0.001932306
